,Year of Breach,Company Name,Total Records,Type of Organization,Type of Breach
74,2011,State of Texas,3500000,GOV,DISC
75,2011,Southern California Medical-Legal Consultants,300000,MED,HACK
76,2011,Eisenhower Medical Center,514330,MED,STAT
77,2011,Sony PlayStation Network,77000000,gaming,HACK
78,2011,Sony Pictures,1000000,BSR,HACK
79,2011,Stratfor,935000,military,DISC
80,2011,Bethesda Game Studios,200000,gaming,HACK
81,2012,US Medicaid,780000,"GOV, MED",HACK
82,2012,Massive American business hack including 7-Eleven and Nasdaq,160000000,BSF,HACK
83,2012,Yahoo! Voices,450000,BSR,HACK
84,2012,TD Bank,260000,BSF,HACK
85,2012,New York State Electric & Gas,1800000,energy,INSD
86,2012,Office of the Texas Attorney General,6500000,GOV,DISC
87,2012,"LinkedIn, eHarmony, Last.fm",8000000,BSR,DISC
88,2012,Rambler.ru,98167935,BSR,HACK
89,2012,South Carolina Government,6400000,MED,INSD
90,2012,Syrian government (Syria Files),2434899,GOV,HACK
91,2012,Militarysingles.com,163792,"BSR, military",DISC
92,2012,Zappos,24000000,BSR,HACK
93,2012,KT Corporation,8700000,telecoms,HACK
94,2012,Formspring,420000,BSR,DISC
95,2012,Greek government,9000000,GOV,HACK
96,2012,Emory Healthcare,315000,MED,HACK
97,2012,Dropbox,68648009,BSR,HACK
98,2012,Gamigo,8000000,BSR,HACK
99,2012,"Iranian banks (three: Saderat, Eghtesad Novin, and Saman)",3000000,BSF,HACK
100,2012,California Department of Child Support Services,800000,GOV,STAT
101,2012,Global Payments,7000000,BSF,HACK
102,2012,Blizzard Entertainment,14000000,gaming,HACK
103,2013,Ubuntu,2000000,tech,HACK
104,2013,Adobe Systems Incorporated,152000000,tech,HACK
105,2013,Florida Department of Juvenile Justice,100000,GOV,STAT
106,2013,Scribd,500000,BSR,HACK
107,2013,Facebook,6000000,social network,DISC
108,2013,SnapChat,4700000,"BSR, tech",HACK
109,2013,Yahoo Japan,22000000,"tech, BSR",HACK
110,2013,Evernote,50000000,BSR,HACK
111,2013,South Africa police,16000,GOV,HACK
112,2013,Yahoo,3000000000,BSR,HACK
113,2013,Dun & Bradstreet,1000000,tech,HACK
114,2013,"Crescent Health Inc., Walgreens",100000,MED,STAT
115,2013,Target Corporation,110000000,BSR,HACK
116,2013,Vodafone,2000000,telecoms,INSD
117,2013,Citigroup,150000,BSF,HACK
118,2013,Central Hudson Gas & Electric,110000,energy,HACK
119,2013,"Affinity Health Plan, Inc.",344579,MED,STAT
120,2013,Tumblr,65469298,BSR,HACK
121,2013,Twitter,250000,BSR,HACK
122,2013,Washington State court system,160000,GOV,HACK
123,2013,TerraCom & YourTel,170000,telecoms,DISC
124,2013,Drupal,1000000,BSR,HACK
125,2013,Nintendo (Club Nintendo),240000,gaming,HACK
126,2013,Kroll Background America,1000000,tech,HACK
127,2013,Living Social,50000000,BSR,HACK
128,2013,Kirkwood Community College,125000,EDU,HACK
129,2014,eBay,145000000,BSR,HACK
130,2014,LexisNexis,1000000,tech,HACK
131,2014,Home Depot,56000000,BSR,HACK
132,2014,Domino's Pizza (France),600000,BSR,HACK
133,2014,Benesse,35040000,educational services,HACK
134,2014,New York Taxis,52000,transport,HACK
135,2014,Neiman Marcus,1100000,BSR,HACK
136,2014,Community Health Systems,4500000,MED,HACK
137,2014,Mozilla,76000,BSR,HACK
138,2014,JP Morgan Chase,76000000,BSF,HACK
139,2014,Uber,50000,tech,HACK
140,2014,AOL,2400000,BSR,HACK
141,2014,"University of Maryland, College Park",300000,EDU,HACK
142,2014,Michaels,3000000,BSR,HACK
143,2014,Korea Credit Bureau,20000000,BSF,INSD
144,2014,Gmail,5000000,BSR,HACK
145,2014,Yahoo,500000000,BSR,HACK
146,2014,MacRumors.com,860000,BSR,HACK
147,2014,Hilton Hotels,363000,hotel,HACK
148,2015,Premera,11000000,MED,HACK
149,2015,US Office of Personnel Management,21500000,GOV,HACK
150,2015,"UCLA Medical Center, Santa Monica",4500000,MED,HACK
151,2015,CareFirst BlueCross Blue Shield - Maryland,1100000,MED,HACK
152,2015,Medical Informatics Engineering,3900000,MED,HACK
153,2015,Xat.com,6054459,BSR,PHYS
154,2015,"Sakai City, Japan",680000,GOV,INSD
155,2015,Slack,500000,tech,HACK
156,2015,Patreon,2300000,BSR,HACK
157,2015,Bailey's Inc.,250000,BSR,HACK
158,2015,Scottrade,4600000,BSF,HACK
159,2015,Walmart,1300000,BSR,HACK
160,2015,VTech,5000000,BSR,HACK
161,2015,Experian - T-Mobile US,15000000,telecoms,HACK
162,2015,Ashley Madison,32000000,BSR,HACK
163,2015,Japan Pension Service,1250000,special public corporation,HACK
164,2015,Excellus BlueCross BlueShield,10000000,MED,HACK
165,2015,Internal Revenue Service,720000,BSF,HACK
166,2016,University of Central Florida,63000,EDU,HACK
167,2016,"University of California, Berkeley",80000,EDU,HACK
168,2016,Verizon Communications,1500000,telecoms,HACK
169,2016,KM.RU,1500000,BSR,HACK
170,2016,Weebly,43430316,BSR,HACK
171,2016,Inuvik hospital,6700,MED,INSD
172,2016,US Department of Homeland Security,30000,GOV,HACK
173,2016,Funimation,2500000,BSR,HACK
174,2016,Friend Finder Networks,412214295,BSR,HACK
175,2016,Nival Networks,1500000,gaming,HACK
176,2016,Nippon Television,430000,media,HACK
177,2016,Central Coast Credit Union,60000,BSF,HACK
178,2016,Cox Communications,40000,telecoms,HACK
179,2016,Philippines Commission on Elections,55000000,GOV,HACK
180,2016,21st Century Oncology,2200000,MED,HACK
181,2016,Taobao,20000000,BSR,HACK
182,2016,TaxSlayer.com,8800,BSR,HACK
183,2017,Taringa!,28722877,BSR,HACK
184,2017,Advocate Medical Group,4000000,MED,STAT
185,2017,Grozio Chirurgija,25000,MED,HACK
186,2017,Equifax,163119000,"BSF, credit reporting",HACK
187,2017,Bell Canada,1900000,telecoms,HACK
188,2017,Uber,57000000,transport,HACK
189,2018,Blank Media Games,7633234,gaming,HACK
190,2018,Popsugar,123857,fashion,HACK
191,2018,Quora,100000000,Question & Answer,HACK
192,2018,Orbitz,880000,BSR,HACK
193,2018,Ticketfly (subsidiary of Eventbrite),26151608,ticket distribution,HACK
194,2018,Google Plus,500000,social network,HACK
195,2018,2018 British Airways cyberattack,500000,transport,HACK
196,2018,Facebook,50000000,social network,HACK
197,2018,Marriott International,500000000,hotel,HACK
198,2018,Bell Canada,100000,telecoms,HACK
199,2018,AerServ (subsidiary of InMobi),75000,advertising,HACK
200,2018,Cathay Pacific Airways,9400000,transport,HACK
201,2018,SingHealth,1500000,"GOV, database",HACK
202,2018,BMO and Simplii,90000,banking,HACK
203,2018,Air Canada,20000,transport,HACK
204,2018,Centers for Medicare & Medicaid Services,75000,MED,HACK
205,2018,United States Postal Service,60000000,GOV,HACK
206,2018,HauteLook,28517244,BSR,HACK
207,2018,Under Armour,150000000,Consumer Goods,HACK
208,2018,MyHeritage,92283889,genealogy,UNKN
209,2018,Exactis,340000000,data broker,HACK
0,2017,Gourmesso,1,BSR,CARD
1,2017,State of Indiana,1,GOV,UNKN
2,2017,Community Physicians of indiana inc,1,MED,UNKN
3,2017,Exam one,1,UNKN,UNKN
4,2018,Employ indy,1,UNKN,UNKN
5,2018,Kindred hospital northwest,1,UNKN,UNKN
6,2018,Morgan stanley smith barney llc,1,UNKN,UNKN
7,2018,Family& social services administration,1,UNKN,UNKN
8,2018,Kingston healthcare company,1,UNKN,UNKN
9,2017,Community health network,1,UNKN,UNKN
10,2018,Deaconess hospital,1,UNKN,UNKN
11,2018,Indiana university,1,EDU,UNKN
12,2018,Family& social services administration,1,UNKN,UNKN
13,2017,R m h franchise holdings inc,1,BSF,UNKN
14,2018,The vanguard group inc,1,UNKN,UNKN
15,2018,Prudential insurance companyof america,1,UNKN,UNKN
16,2018,aNEWreality,1,UNKN,UNKN
17,2018,Prudential insurance companyof america,1,UNKN,UNKN
18,2018,KHI Solutions inc,1,UNKN,UNKN
19,2018,Indiana bureauof motor vehicles,1,UNKN,UNKN
20,2018,Indiana Bureau of Motor Vehicles,1,UNKN,UNKN
21,2018,Zenith american solutions,1,UNKN,UNKN
22,2018,Community physiciansof indiana inc,1,UNKN,UNKN
23,2018,Kindred healthcare,1,UNKN,UNKN
24,2018,Guardian l ife insurance companyof america,1,UNKN,UNKN
25,2018,Angeles equity partners llc,1,UNKN,UNKN
26,2018,Indiana bureauof motor vehicles,1,UNKN,UNKN
27,2018,Baptist health medical group,1,UNKN,UNKN
28,2018,Healthand hospital corporationof marion county,1,UNKN,UNKN
29,2018,Ascensus inc,1,UNKN,UNKN
30,2018,Prudential insurance companyof america,1,UNKN,UNKN
31,2018,Columbus regional health,1,UNKN,UNKN
32,2018,Main line arts,1,UNKN,UNKN
33,2017,Hudsons bay company,1,UNKN,UNKN
34,2018,One main financial,1,BSF,UNKN
35,2018,Brinker international inc,1,UNKN,UNKN
36,2018,Franciscan physician network,1,UNKN,UNKN
37,2018,Columbia healthcare center,1,UNKN,UNKN
38,2018,IDEM,1,UNKN,UNKN
39,2017,SEIU 32BJ,1,NGO,UNKN
40,2018,Printing Center USA,1,UNKN,UNKN
41,2018,Franciscan health indianapolis,1,UNKN,UNKN
42,2018,Lehman roberts company,1,UNKN,UNKN
43,2018,Mennonite disabilities committee incdba goldenrod,1,UNKN,UNKN
44,2018,ShopPOPDisplays Inc.,1,UNKN,UNKN
45,2018,IDEM,1,UNKN,UNKN
46,2018,Healthand hospital corporationof marion county,1,UNKN,UNKN
47,2018,Indiana bureauof motor vehicles,1,UNKN,UNKN
48,2018,Physicians home care,1,UNKN,UNKN
49,2018,One main financial,1,BSF,UNKN
50,2018,Exam one,1,UNKN,UNKN
51,2018,Healthand hospital corporationof marion county,1,UNKN,UNKN
52,2018,Healthand hospital corporationof marion county,1,UNKN,UNKN
53,2018,Healthand hospital corporationof marion county,1,UNKN,UNKN
54,2018,Franciscan ACO Inc.,1,UNKN,UNKN
55,2018,Baptist health medical group,1,UNKN,UNKN
56,2018,United services automobile association,1,UNKN,UNKN
57,2018,Exam one,1,UNKN,UNKN
58,2018,Indiana bureauof motor vehicles,1,UNKN,UNKN
59,2018,Logansport memorial hospital,1,UNKN,UNKN
60,2018,Land o lakes inc,1,UNKN,UNKN
61,2018,Indianapolis neighborhood housing partnership,1,UNKN,UNKN
62,2018,Campbellsville university inc,1,UNKN,UNKN
63,2018,Indiana university,1,UNKN,UNKN
64,2018,Reid health,1,UNKN,UNKN
65,2018,Community hospital south,1,UNKN,UNKN
66,2018,Franciscan physician netowrkdba lowell health center,1,UNKN,UNKN
67,2018,Indiana bureauof motor vehicles,1,UNKN,UNKN
68,2018,Franciscan physician network,1,UNKN,UNKN
69,2018,Franciscan physician networkdba coolspring health center,1,UNKN,UNKN
70,2018,Next gen healthcare inc,1,UNKN,UNKN
71,2014,DaVita Healthcare Partners,1,MED,DISC
72,2014,Tribeca Film Institute,1,MED,HACK
73,2014,"Carmike Cinemas, Inc.",1,MED,PHYS
74,2014,Merrill Lynch Wealth management,1,MED,DISC
75,2014,"ProAssurance Mid-Continent Underwriters, Inc.",1,MED,HACK
76,2014,FujiFilm,1,MED,HACK
77,2014,USAA,1,MED,DISC
78,2014,"Santander Bank, N. A.",1,MED,INSD
79,2014,CenturyLink,1,MED,HACK
80,2014,Hilbert College,1,MED,DISC
81,2014,Kimpton,1,MED,HACK
82,2014,"Intuit, Inc.",1,MED,HACK
83,2014,David Stanley Dodge,1,MED,HACK
84,2014,Seterus,1,MED,DISC
85,2014,Invest Financial Corporation,1,MED,DISC
86,2014,Park Hill School District,1,MED,INSD
87,2014,Washington National Insurance Company,1,MED,HACK
88,2014,OppenheimerFunds Services,1,MED,DISC
89,2014,NorthShore University Healthsystem,1,MED,HACK
90,2014,Polish Falcons of America,1,MED,PHYS
91,2014,Diatherix Laboratories,1,MED,HACK
92,2014,M&T Bank,1,MED,DISC
93,2014,Nationstar Mortgage LLC,1,MED,DISC
94,2014,Mercy Health Services,1,MED,DISC
95,2014,"CareCentrix, Inc.",1,MED,INSD
96,2014,Booking.com,1,MED,HACK
97,2014,North American Title Company,1,MED,DISC
98,2014,"Six Continents Hotels, Inc.",1,MED,INSD
99,2014,Rentrak Corporation,1,MED,PHYS
100,2014,Valeritas,1,MED,DISC
101,2014,Fidelity Investments,1,MED,DISC
102,2014,Gold's Gym,1,MED,INSD
103,2014,CareFirst BlueCross BlueShield,1,MED,DISC
104,2014,Duluth Pack,1,MED,HACK
105,2014,"Wyndham Vacation Resorts, Inc.",1,MED,INSD
106,2014,Transamerica Premier Life Insurance Company,1,MED,DISC
107,2017,Best Buy,1,BSR,HACK
108,2016,Union Hospital,1,MED,DISC
109,2017,Nevro,1,MED,PHYS
110,2018,"Steven Yang, D.D.S., Inc.",1,MED,PHYS
111,2017,Riverside Unified School District,1,EDU,DISC
112,2018,Principal Life Insurance Company,1,BSF,DISC
113,2018,UNC Health Care,1,MED,DISC
114,2018,OneMain Financial,1,BSF,PHYS
115,2017,St. Vincent Warrick,1,MED,DISC
116,2017,Gourmesso,1,BSR,UNKN
117,2017,Cameron memorial community hospital,2,UNKN,UNKN
118,2017,State of indiana,2,GOV,UNKN
119,2018,Franciscan health indianapolis,2,UNKN,UNKN
120,2018,Community rehabilitation hospital,2,UNKN,UNKN
121,2018,Brownsburg meadows,2,UNKN,UNKN
122,2018,Intuit inc,2,UNKN,UNKN
123,2018,Elkhart county prosecutor attorney office i v d child support,2,UNKN,UNKN
124,2018,FSSA on behalf of Phoenix Data Corporation,2,UNKN,UNKN
125,2018,Massachusetts mutual life insurance company,2,UNKN,UNKN
126,2018,Exam one,2,UNKN,UNKN
127,2014,Susquehanna Health,2,MED,DISC
128,2014,CareFirst BlueCross BlueShield,2,MED,DISC
129,2014,Mimeo.com,2,MED,INSD
130,2014,Seterus,2,MED,DISC
131,2014,American Dental Association,2,MED,DISC
132,2014,"Service Alternatives, Inc.",2,MED,DISC
133,2014,"Rowan Companies, Inc.",2,MED,HACK
134,2014,Republic Bank & Trust Company,2,MED,PHYS
135,2014,"Ameriprise Financial Services, Inc.",2,MED,PHYS
136,2014,Legacy Consulting LLC,2,MED,DISC
137,2014,Penn Highlands Brookville,2,MED,HACK
138,2014,Backcountry Gear,2,MED,HACK
139,2014,Experian,2,MED,HACK
140,2014,"Camp Bow Wow Franchising, Inc.",2,MED,HACK
141,2014,Blue Mountain Community Foundation,2,MED,DISC
142,2014,Point Loma Nazarene University,2,MED,HACK
143,2017,National Safety Council,2,BSO,HACK
144,2017,Miami Dade County School District,2,EDU,DISC
145,2018,Franciscan Health Indianapolis,2,MED,DISC
146,2017,Tyler Technologies Inc.,2,BSO,DISC
147,2018,Indiana university health inc,3,EDU,UNKN
148,2018,Indiana bureauof motor vehicles,3,UNKN,UNKN
149,2018,Departmentof child services,3,UNKN,UNKN
150,2014,Larsen Dental Care,3,MED,PHYS
151,2014,Experian,3,MED,HACK
152,2014,"The Home Depot, Inc.",3,MED,INSD
153,2014,AT&T,3,MED,INSD
154,2014,"Dennis East International, LLC",3,MED,HACK
155,2014,"ABM Parking Services, Inc.",3,MED,INSD
156,2014,Holy Cross Hospital,3,MED,HACK
157,2014,Benefit Express Services,3,MED,DISC
158,2015,Vesta Property Services,3,BSO,PHYS
159,2017,State of indiana,4,GOV,UNKN
160,2017,Deaconess hospital,4,UNKN,UNKN
161,2013,Franciscan health indianapolis,4,UNKN,UNKN
162,2014,"Alaska Communications Systems Holdings, Inc.",4,MED,HACK
163,2014,American Health Information Management Association (AHIMA),4,MED,INSD
164,2014,"Mercer HR Services, LLC",4,MED,DISC
165,2014,Primerica,4,MED,PHYS
166,2014,Experian,4,MED,DISC
167,2014,BolderImage Company,4,MED,HACK
168,2016,The World Anti-Doping Agency (WADA),4,BSO,HACK
169,2010,Humana,4,MED,INSD
170,2017,Deconess Hospital,4,MED,INSD
171,2018,Pro sight specialty insurance,5,UNKN,UNKN
172,2018,Union associated physicians clinicdba union medical group,5,UNKN,UNKN
173,2018,First merchants bank,5,BSF,UNKN
174,2018,Indianapolis neighborhood housing partnership,5,UNKN,UNKN
175,2014,"eScreen, Inc.",5,MED,INSD
176,2014,"Entercom Portland, LLC",5,MED,PHYS
177,2014,Montana Department of Public Health and Human Service,5,MED,DISC
178,2014,Wayneburg University,5,MED,HACK
179,2014,TREMEC,5,MED,PHYS
180,2014,UIL Holdings Corporation,5,MED,PHYS
181,2014,Allianz Life Insurance Company of North America,5,MED,DISC
182,2017,Alton Lane,5,BSR,HACK
183,2018,Principal life insurance company- security breach,6,UNKN,UNKN
184,2014,"Greenleaf Book Group, LLC",6,MED,PHYS
185,2014,Farmers and Merchants Trust Company of Chambersburg,6,MED,INSD
186,2014,"Townsend Enterprises, Inc. d/b/a The Sinclair Institute",6,MED,HACK
187,2014,American Athletic Conference,6,MED,HACK
188,2014,"Citibank, N.A.",6,MED,DISC
189,2018,Trimont Real Estate Advisors,6,BSF,HACK
190,2017,Deboer Income Tax,7,BSF,HACK
191,2018,Healthand hospital corporationof marion county,7,UNKN,UNKN
192,2014,"City of Crossville, Tennessee",7,MED,DISC
193,2014,"Tokyo Electric Power Company, Inc.",7,MED,DISC
194,2014,Clay County Hospital,7,MED,HACK
195,2018,Hamilton Acquisition Corp. t/a Stallings Group,7,BSR,DISC
197,2017,Rosewood Hotel Group,8,BSR,UNKN
198,2018,Salin bankand trust company,8,BSF,UNKN
199,2018,Tipmont REMC,8,UNKN,UNKN
200,2018,Ceres partners llc,8,UNKN,UNKN
201,2014,Fresenius Medical Care,8,MED,PHYS
202,2014,TD Bank,8,MED,DISC
203,2014,Modern Gun School,8,MED,HACK
204,2010,Armed Forces Recruiting Center,8,GOV,PHYS
205,2010,California Men's Colony (CMC),8,GOV,PHYS
206,2013,Walgreens,8,BSR,INSD
207,2017,Idaho Transportation Department,8,GOV,HACK
209,2017,Mid-Atlantic Carpenters' Training Center,9,BSO,UNKN
210,2018,Taylor university,9,EDU,UNKN
211,2018,Community rehabilitation hospital south,9,UNKN,UNKN
212,2014,Experian,9,MED,HACK
213,2017,"Friedman & Perry, CPA's",9,BSF,HACK
214,2018,Netcracker Technology Corporation,9,BSR,HACK
215,2011,"City of Cleveland, Texas",10,GOV,PHYS
216,2011,Sky Harbor PHX,10,BSO,CARD
218,2009,Library of Congress,10,GOV,INSD
219,2012,Grant Income Tax Bookkeeping and Check Cash,10,BSF,INSD
220,2012,T&M Protection Resources,10,BSO,HACK
221,2014,Bank of the West,10,MED,HACK
222,2014,Central City Concern,10,MED,INSD
223,2014,"California State University, East Bay",10,MED,HACK
224,2014,Metropolitan Life Insurance Company,10,MED,DISC
225,2013,Regional Medical Center Bayonet Point,10,MED,DISC
226,2017,"XOS Technologies d/b/a XOS Digital, Inc.",10,BSR,HACK
227,2018,"Kingston Residence of Hickory, LLC",10,MED,DISC
228,2010,Payless Shoe Store,11,BSR,INSD
229,2011,"Guide Publishing Group, GuideYou.com",11,BSO,HACK
234,2012,www.SD.gov (South Dakota),11,GOV,HACK
235,2017,Community health network,11,UNKN,UNKN
236,2014,Placemark Investments,11,BSF,HACK
237,2014,"Placemark Investments, Inc.",11,MED,HACK
238,2014,Reading Partners,11,MED,PHYS
239,2014,Dreslyn,11,MED,HACK
240,2014,LPL Financial LLC,11,MED,DISC
241,2014,"MemberClicks, Inc. d/b/a Moolah Payments",11,MED,PHYS
242,2011,Allina Hospitals and Clinics,11,MED,INSD
243,2010,JP Morgan Chase,12,BSF,INSD
244,2011,Qdoba Mexican Grill,12,BSR,HACK
245,2011,New Horizons General Partnership,12,MED,INSD
248,2010,Providence Hospital,12,MED,PORT
249,2012,Accucom Corporation,12,BSF,HACK
250,2017,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.(Rockville, MD)",12,BSR,UNKN
251,2018,CVS health,12,UNKN,UNKN
252,2014,Embassy suites,12,MED,HACK
253,2014,Aflac,12,MED,INSD
254,2014,Oak Assosiates Funds,12,MED,PHYS
255,2014,"Power Equipment Direct, Inc.",12,MED,HACK
256,2014,Sands Casino Resort Bethlehem,12,MED,HACK
257,2011,Northwestern Counseling and Support Services,12,MED,PHYS
258,2012,Reading Hospital,12,MED,INSD
259,2012,Town Council of Chapel Hill,12,GOV,DISC
260,2012,Holy Family University,12,EDU,HACK
261,2010,Monadnock Community Bank,13,BSF,HACK
266,2008,University of Texas Austin,13,EDU,DISC
267,2012,Cambridge Eastern Education and Development Society (CEEDS),13,EDU,HACK
268,2012,National Endowment for the Arts,13,NGO,HACK
269,2014,Nova Southeastern University,13,MED,HACK
271,2011,University of Iowa Hospitals and Clinics,13,MED,INSD
272,2010,HSBC Bank Nevada,14,BSF,UNKN
275,2018,XPO Logistics inc,14,UNKN,UNKN
276,2014,Precision Planting LLC,14,MED,HACK
277,2014,"Anderson & Murison, Inc.",14,MED,HACK
278,2013,Cedars-Sinai Medical Center,14,MED,INSD
279,2010,"Boulder Community Hospital, Family Medical Associates",14,MED,PHYS
280,2011,ProMedica,14,MED,DISC
281,2011,Jade House Restaurant,15,BSR,DISC
282,2011,Ravenel Elementary School,15,EDU,PORT
283,2012,"Sierra County, California",15,GOV,HACK
284,2012,Queens College,15,EDU,HACK
285,2012,Marquette University,15,EDU,HACK
286,2018,Life time inc,15,UNKN,UNKN
287,2017,Southport familyand sports medicine,15,UNKN,UNKN
288,2014,"Logos Management Software, LLC",15,MED,HACK
289,2014,St. Francis College,15,MED,PHYS
290,2010,Blue Cross Blue Shield of Alabama,15,MED,INSD
291,2012,Main Street Pharmacy,15,MED,INSD
292,2012,Arizona Oncology,15,MED,INSD
293,2014,Central City Concern,15,NGO,DISC
294,2014,Central City Concern,15,NGO,INSD
295,2011,Two Georges' Restaurant,16,BSR,INSD
296,2011,McDonald's,16,BSR,INSD
300,2010,Logan International Airport,16,GOV,INSD
301,2012,The Complete Pianist,16,BSO,HACK
302,2012,Olympic College,16,EDU,CARD
303,2018,Employee benefits corporation,16,UNKN,UNKN
304,2018,Forethought life insurance company,16,UNKN,UNKN
305,2014,Complete Medical Homecare,16,MED,INSD
306,2014,USAA,16,MED,DISC
307,2014,"Pacific Biosciences of California, Inc.",16,MED,PHYS
308,2014,Aarow Equipment & Services Inc.,16,MED,PHYS
309,2014,Boulder Community Health,16,MED,PHYS
310,2012,Dayton VA Medical Center,16,GOV,PHYS
313,2018,Tempur sealy international inc,17,UNKN,UNKN
314,2014,"Metropolitan Companies, Inc.",17,MED,PHYS
315,2014,Citi,17,MED,DISC
316,2014,Holiday Motel,17,MED,HACK
317,2017,Atwood Distributing L.P.,17,BSO,HACK
318,2010,Patuxent River Naval Air Station,17,BSF,INSD
319,2011,University of Washington Hospital,17,EDU,PHYS
320,2010,Gap Inc.,18,BSR,INSD
321,2010,Health Net,18,BSF,UNKN
322,2012,Booker T. Washington High School,18,EDU,HACK
325,2012,Emerson (Funai Corporation),18,BSR,HACK
326,2018,Lincoln financial group,18,BSF,UNKN
327,2018,Schlage lock company llc,18,UNKN,UNKN
328,2014,"JCM Partners, LLC",18,MED,HACK
329,2014,National Domestic Workers,18,MED,HACK
330,2014,Arizona State Retirement System,18,MED,DISC
331,2015,State of Minnesota,18,GOV,DISC
332,2013,"MedStar Good Samaritan Nursing Center, Mid America Health, Inc. (MAH)",18,MED,PHYS
333,2008,Bank of West,19,BSF,INSD
334,2009,Ball State University,19,EDU,DISC
335,2018,Franciscan health indianapolis,19,UNKN,UNKN
336,2014,"Snelling Staffing, LLC",19,MED,DISC
337,2014,Experian,19,MED,HACK
338,2014,"The County of Hertford County, North Carolina",19,MED,DISC
339,2010,University of Pittsburgh Medical Center Shadyside Hospital,19,MED,INSD
340,2010,Perinton Square Post Office,20,GOV,PHYS
