Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude,,,
3/22/2018,Community physiciansof indiana inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/29/2018,Kindred healthcare,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/29/2018,Guardian l ife insurance companyof america,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
3/30/2018,Angeles equity partners llc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/4/2018,Indiana bureauof motor vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/4/2018,Baptist health medical group,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/12/2018,Healthand hospital corporationof marion county,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/12/2018,Ascensus inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/23/2018,Prudential insurance companyof america,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/25/2018,Columbus regional health,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/26/2018,Main line arts,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
4/27/2018,Hudsons bay company,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
4/27/2018,One main financial,,,UNKN,BSF,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/11/2018,Brinker international inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/17/2018,Franciscan physician network,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/21/2018,Columbia healthcare center,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/21/2018,IDEM,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/25/2018,SEIU 32BJ,,,UNKN,NGO,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2017,0,0,,,
5/25/2018,Printing Center USA,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/31/2018,Franciscan health indianapolis,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
5/31/2018,Lehman roberts company,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
6/8/2018,Mennonite disabilities committee incdba goldenrod,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
6/11/2018,ShopPOPDisplays Inc.,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
6/12/2018,IDEM,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/13/2018,Healthand hospital corporationof marion county,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/16/2018,Indiana bureauof motor vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/17/2018,Physicians home care,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/17/2018,One main financial,,,UNKN,BSF,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/27/2018,Exam one,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
7/30/2018,Healthand hospital corporationof marion county,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/3/2018,Healthand hospital corporationof marion county,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/6/2018,Healthand hospital corporationof marion county,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/13/2018,Franciscan ACO Inc.,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/15/2018,Baptist health medical group,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/15/2018,United services automobile association,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
8/21/2018,Exam one,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
9/4/2018,Indiana bureauof motor vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/5/2018,Logansport memorial hospital,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/8/2018,Land o lakes inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/12/2018,Indianapolis neighborhood housing partnership,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/19/2018,Campbellsville university inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/24/2018,Indiana university,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
10/30/2018,Reid health,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/1/2018,Community hospital south,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/2/2018,Franciscan physician netowrkdba lowell health center,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/8/2018,Indiana bureauof motor vehicles,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/9/2018,Franciscan physician network,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/9/2018,Franciscan physician networkdba coolspring health center,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
11/16/2018,Next gen healthcare inc,,,UNKN,UNKN,1,"Information on this security breach is provided by the Office of the Indiana Attorney General
",Indiana Attorney General,https://www.in.gov/attorneygeneral/2874.htm,2018,0,0,,,
1/23/2014,DaVita Healthcare Partners,Denver,Colorado,DISC,MED,1,"name, ssn, clinical diagnoses, health insurance info, dialysis info
Location of breached information: paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,39.27483,-76.627783,,,
1/30/2014,Tribeca Film Institute,New York,New York,HACK,MED,1,"payroll info
Location of breached information: unauthorized access to payroll info
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,42.568979,-74.850713,,,
2/13/2014,"Carmike Cinemas, Inc.",Columbus,Ohio,PHYS,MED,1,"name, address, ssn
Location of breached information: paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,39.97726,-82.945992,,,
2/24/2014,Merrill Lynch Wealth management,,Maryland,DISC,MED,1,"name, address, ssn, account number
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
2/27/2014,"ProAssurance Mid-Continent Underwriters, Inc.",Houston,Texas,HACK,MED,1,"name, ssn
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,29.746762,-95.399365,,,
4/7/2014,FujiFilm,Valhalla,New York,HACK,MED,1,"email system accessed without authorization
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,39.501681,-76.979392,,,
4/15/2014,USAA,,Maryland,DISC,MED,1,"name, address, ssn, member account number, and financial info
Location of breached information: paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
5/12/2014,"Santander Bank, N. A.",Boston,Massachusetts,INSD,MED,1,"employee improperly accessed and retained info
Location of breached information: Desktop Computer
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx?subfolder=2015,2014,42.360083,-71.05888,,,
5/22/2014,CenturyLink,,Maryland,HACK,MED,1,"unauthorized access to server
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
5/22/2014,Hilbert College,,Maryland,DISC,MED,1,"paperwork distributed at financial aid workshop inadvertently contained personal info
Location of breached information: Paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
6/2/2014,Kimpton,,Maryland,HACK,MED,1,"malware
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
6/9/2014,"Intuit, Inc.",,Maryland,HACK,MED,1,"address, name, ssn FEINs,and bank account number
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
6/16/2014,David Stanley Dodge,,Maryland,HACK,MED,1,"vulnerability on computer network
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
6/27/2014,Seterus,,Maryland,DISC,MED,1,"laon number, borrower name, property address, loan details
Location of breached information: Paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
6/27/2014,Invest Financial Corporation,,Maryland,DISC,MED,1,"physical file may have been copied
Location of breached information: Paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
7/10/2014,Park Hill School District,,Maryland,INSD,MED,1,"name, ssn, state identification number, and health plan insurance number
Location of breached information: Portable device
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
7/23/2014,Washington National Insurance Company,,Maryland,HACK,MED,1,"name, address, dob, age, phone number, ssn
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
7/24/2014,OppenheimerFunds Services,,Maryland,DISC,MED,1,"name, account number, ssn
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
7/25/2014,NorthShore University Healthsystem,,Maryland,HACK,MED,1,"name, address, email address, dob, marital status, benefits info, ssn
Location of breached information: email
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
8/6/2014,Polish Falcons of America,Pittsburgh,Pennsylvania,PHYS,MED,1,"name, ssn, credit card info
Location of breached information: Laptop
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.421935,-80.046211,,,
8/8/2014,Diatherix Laboratories,,Maryland,HACK,MED,1,"Name, ssn, dob, insurance, test information
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
8/20/2014,M&T Bank,,Maryland,DISC,MED,1,"name, address, phone number, dob, ssn
Location of breached information: email
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/2/2014,Nationstar Mortgage LLC,,Maryland,DISC,MED,1,"name, address, mortgage loan numbers
Location of breached information: email
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
9/17/2014,Mercy Health Services,,Maryland,DISC,MED,1,"PHI (Protected health information)
Location of breached information: email
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
9/18/2014,"CareCentrix, Inc.",,Maryland,INSD,MED,1,"name, address, dob, ssn, health plan numbers
Location of breached information: Desktop Computer
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/18/2014,Booking.com,,Maryland,HACK,MED,1,"name, address, and payment card info
Location of breached information: Payment card system
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/22/2014,North American Title Company,,Maryland,DISC,MED,1,"information associated with loan documents
Location of breached information: paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/23/2014,"Six Continents Hotels, Inc.",,Maryland,INSD,MED,1,"name, payment card info
Location of breached information: Desktop Computer
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/23/2014,Rentrak Corporation,,Maryland,PHYS,MED,1,"name, address, social security number, and title and salary information
Location of breached information: Laptop
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/24/2014,Valeritas,,Maryland,DISC,MED,1,"names, address, dob, ssn
Location of breached information: Network Server
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
9/26/2014,Fidelity Investments,,Maryland,DISC,MED,1,"name, ssn, brokerage account number
Location of breached information: email
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
10/15/2014,Gold's Gym,,Maryland,INSD,MED,1,"name, credit card info
Location of breached information: Desktop Computer
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
10/23/2014,CareFirst BlueCross BlueShield,,Maryland,DISC,MED,1,"name, ssn
Location of breached information: Paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,39.045755,-76.641271,,,
10/27/2014,Duluth Pack,,Maryland,HACK,MED,1,"name, address, payment account numbers, email address
Location of breached information: Website
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
11/3/2014,"Wyndham Vacation Resorts, Inc.",,Maryland,INSD,MED,1,"name, address, ssn, financial account info
Location of breached information: Desktop Computer
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
12/23/2014,Transamerica Premier Life Insurance Company,,Maryland,DISC,MED,1,"name, ssn, bank account info
Location of breached information: Paper
Business associate present: No
",Maryland Attorney General,http://www.marylandattorneygeneral.gov/Pages/IdentityTheft/breachnotices.aspx,2014,40.760537,-73.97889,,,
4/6/2018,Best Buy,,,HACK,BSR,1,"After Delta Air Lines and Sears Holdings, Best Buy has also come forward to warn customers that their payment card information may have been compromised as a result of a breach suffered by online services provider [24]7.ai.Similar to Delta and Sears, Best Buy contracted [24]7.ai for online chat/support services. The retailer says it will contact impacted customers and provide free credit monitoring if needed.Best Buy has not specified exactly how many of its customers are impacted, but noted that “only a small fraction of our overall online customer population could have been caught up in this [24]7.ai incident, whether or not they used the chat function.”",Media,https://www.securityweek.com/best-buy-hit-247ai-payment-card-breach,2017,37.09024,-95.712891,,,
1/23/2018,Union Hospital,Terre Haute,Indiana,DISC,MED,1,"Union Hospital suffered an inadvertent disclosure on approximately 1/18/16 that resulted in 1 record being exposed, which included social security numbers. ",Security Breach Letter,,2016,39.466703,-87.413909,,,
1/29/2018,Nevro,Dublin,Ohio,PHYS,MED,1,"What Happened? Nevro was recently the victim of a criminal break-in at our corporate headquarters in which several laptop computers were stolen. Nearby businesses were also targeted by the same perpetrators, who stole laptops from those businesses as well. Nevro has been unable to recover the stolen laptops on which limited information relating to you has been stored.We have no indication that these laptops were stolen in order to acquire the data on them, nor any indication that the data on the laptops has been accessed or used in any way. All the stolen Nevro laptops were password-protected, although not all were encrypted. Because limited information about your treatment relationship with Nevro was stored on one or more of the stolen laptops, and applicable state law considers this type of information sufficient to warrant a notification, we are reaching out to advise you of these equipment thefts.  What Information Was Involved? Limited categories of information about certain patients who use Nevro’s HF10 therapy were contained in files stored on one or more of the unencrypted laptops. The categories of information varied by file or patient, but the data fields were limited to patient name, street address, birth date, procedure date, medical device identifiers (such as serial number), and contact information for the patient’s physician or other medical provider.Nevro does not possess, and none of these laptops contained, sensitive identifying information such as Social Security or other government-issued identification numbers or credit card or financial institution information. None of these laptops contained treatment or medical information other than the information directly related to the fact of the use of the device",Security Breach Letter,https://oag.ca.gov/system/files/Notification%20Letter%20-%20%20Nevro_0.pdf,2017,40.099229,-83.114077,,,
2/1/2018,"Steven Yang, D.D.S., Inc.",Reseda,California,PHYS,MED,1,"What Happened On the morning of January 6, 2018,  dental office was burglarized and two laptops were stolen. Once discovered, the matter was immediately reported to the Los Angeles Police Department and an internal investigation was started to determine what, if any, health information may have been stored on those devices. What Information Was Involved An investigation has determined that files contained on those devices may have included names, addresses, social security numbers, health insurance numbers and other information regarding California citizens' dental care. To date, they have been unable to locate the stolen devices. ",Security Breach Letter,https://oag.ca.gov/system/files/T875_v02%20-%20Notice_0.pdf,2018,34.201114,-118.536052,,,
2/8/2018,Riverside Unified School District,Riverside,California,DISC,EDU,1,"On December 5, 2017, a San Diego County office of Education employee inadvertently sent an employee retirement contribution spreadsheet to San Diego County Office of Education's retirement contribution contacts at forty-four (44) school districts throughout Southern California. The impact likely affected 1 Idaho resident.",Security Breach Letter,,2017,0,0,,,
2/13/2018,Principal Life Insurance Company,Des Moines,Iowa,DISC,BSF,1,"Principal received a Pension Death Benefit Claim form in the mail room via Federal Express from the customer. When the package arrived at the recipients desk, it was empty.",Security Breach Letter,,2018,41.600545,-93.609106,,,
2/15/2018,UNC Health Care,Chapel Hill,North Carolina,DISC,MED,1,Patient's personal information was accidentally faxed to another patient's daughter. The error was immediately identified and the recipient was quickly contacted. The recipient agreed to delete the electronic fax.,Security Breach Letter,,2018,35.9132,-79.055845,,,
